VIN,Model,Report Date,Incident Date,Location,NHTSA Complaint,Details
5YJSA1E18HF****,2017 MODEL S,25-Jul-18,7-Jul-18,"LAGUNA NIGUEL, CA",11113560,"TL* THE CONTACT OWNS A 2017 TESLA MODEL S. WHILE DRIVING 5 MPH, THE VEHICLE ACCELERATED RAPIDLY WITHOUT WARNING. AS A RESULT, THE CONTACT CRASHED INTO A GARAGE DOOR. THE AIR BAGS DID NOT DEPLOY. A POLICE REPORT WAS NOT FILED. THERE WERE NO INJURIES SUSTAINED. THE VEHICLE WAS TOWED TO TESLA BUENA PARK (6692 AUTO CENTER DR, BUENA PARK, CA 90621, (714) 735-5696) AND WAS AWAITING DIAGNOSTIC TESTING AND REPAIRS. THE MANUFACTURER WAS MADE AWARE OF THE FAILURE. THE FAILURE MILEAGE WAS APPROXIMATELY 10,000."
5YJSA1E21HF****,2017 MODEL S,29-May-18,29-May-18,"NAPLES, FL",11098517,"TL* THE CONTACT OWNS A 2017 TESLA MODEL S. WHILE ATTEMPTING TO PARK THE VEHICLE AT A LOW SPEED, THE VEHICLE SUDDENLY ACCELERATED WITH THE BRAKE PEDAL DEPRESSED. THE VEHICLE PROCEEDED TO JUMP THE CURB AND CRASHED INTO SOME BUSHES. THERE WAS NO WARNING INDICATOR ILLUMINATED BEFORE, DURING, OR AFTER THE FAILURE OCCURRED. THERE WERE NO INJURIES AND A POLICE REPORT WAS NOT FILED. THE VEHICLE WAS DRIVEN TO THE CONTACT?S RESIDENCE. THE VEHICLE WAS NOT TAKEN TO A DEALER FOR DIAGNOSTIC TESTING. THE MANUFACTURER WAS NOTIFIED OF THE FAILURE. THE VEHICLE WAS NOT REPAIRED. THE FAILURE MILEAGE WAS 1,772."
5YJSA1E14HF****,2017 MODEL S,15-May-18,25-Apr-18,"SANTA CLARA, CA",11093835,"STOPPED AT A BUSY CITY STREET INTERSECTION FOR AROUND 2 MINUTES WAITING FOR THE GREEN LIGHT. MY CAR WAS SECOND CAR FROM THE INTERSECTION ON A SLIGHT UP SLOPE. OBVIOUSLY THE BRAKE WAS FULLY ENGAGED BUT MY CAR SUDDENLY CREEPS UP SLOPE AND GENTLY BUMPS INTO THE CAR IN THE FRONT. THIS IMPACT PUSHES THE OTHER CAR FORWARD AND MY CAR ROLLS BACK. THE FORWARD COLLISION ALARM WENT OFF BUT I COULD DO LITTLE TO STOP THE CAR OTHER THAN TRY AND PRESS ON THE BRAKE EVEN HARDER. THE CAR AGAIN ROLLS UP AGAIN AND GENTLY BUMPS THE OTHER CAR AGAIN. AGAIN THE COLLISION WARNING WENT OFF BUT I FELT I HAD NO CONTROL OVER THE CAR. I COULD FINALLY GET THE CONTROL BACK AFTER THAT. LUCKILY THERE WERE NO PEDESTRIANS AND CROSS TRAFFIC HAD ALREADY STOPPED. PLEASE NOTE THAT THERE WAS LITTLE OR NO DAMAGE TO EITHER CAR. THE CAR SEEMED TO HAVE A MIND OF IT'S OWN!
 
 THERE WAS LITTLE CHANCE OF DRIVER ERROR IN THIS CASE AS I WAS JUST WAITING FOR THE GREEN LIGHT AND THERE WAS NO PANIC SITUATION FOR A MISTAKEN ACCELERATOR PRESS. I COULD NOT GET ACCESS TO THE CAR LOGS AS TESLA POLICY WOULDN'T ALLOW IT.
 
 PLEASE NOTE THAT NO SELF-DRIVING SOFTWARE WAS INSTALLED AND CREEP MODE WAS OFF AS IT ALWAYS IS."
5YJSA1E29GF****,2017 MODEL S,21-Apr-18,20-Apr-18,"PARAMUS, NJ",11089262,"WHILE PULLING INTO A PARKING SPOT AT A BUSY SHOPPING CENTER, AND APPLYING THE BRAKE PEDAL (HAVING MOVED IT OVER FROM ACCELERATOR) TO STOP THE CAR AT ABOUT 5 MPH, THE MODEL S SUDDENLY LURCHED FORWARD AT FULL ACCELERATION HITTING NOT 1 BUT 2 PARKED CARS. NOTHING WOULD STOP THE CAR AS IT TOOK OVER AND WENT FORWARD WITH BOTH MY FEET PRESSING THE BRAKE PEDAL AS HARD AS I COULD. FINALLY IT STOPPED AFTER HITTING A SECOND PARKED CAR. TESLA HAS NOT RESPONDED, DESPITE 2 DAYS OF EMAILS AND CALLS."
5Y5SA1E11HF****,2017 MODEL S,24-Jan-18,18-Jan-18,"SAN JOSE, CA",11064628,"TESLA MODEL S 2017 SUDDEN UNINTENDED ACCELERATION- 
 
 1/18/2018, MORNING 9:05 AM. I WAS PULLING IN TO MY OFFICE PARKING SPOT WHERE I PARKED FOR 6 YEARS, I LET THE CAR SLOW TO ROLL CLOSER IN FRONT OF THE CURB. ALL OF A SUDDEN THE CAR ACCELERATED, GOT ON THE CURB, HIT THE OFFICE BUILDING. THE CAR WAS STILL GOING UNTIL I APPLIED THE BRAKE. THE ACCELERATION POINT WAS RIGHT BEFORE THE CURB, MEASURING FROM THE POINT TO THE WALL IS ONLY 7 FEET. TESLA SAID I WAS ON THE PEDAL FOR A SECOND LONG, I APPLIED PEDAL FROM 0-18%, AND QUICKLY APPLIED THE BRAKE. IF I APPLIED THE PEDAL, I WOULD NOT BE ABLE TO APPLY MY BRAKE IN A SPLIT SECOND. TESLA REFUSED TO PROVIDE THE FORCE GIVEN TO THE PEDAL AND ANY TELEGRAPHY. TESLA SAID THEY WILL NOT BE RESPONSIBLE FOR ANY DAMAGE AND SAID IT IS DRIVER'S ERROR. I TOLD MY CAR WAS ONLY 6 WEEK NEW, I NO LONGER FEEL SAFE TO DRIVE THIS VEHICLE, I REQUEST TO RETURN THE CAR. TESLA REFUSED. TESLA CLAIMED THERE IS NO PARTS FAILURE AND REFUSED TO DO ANY FAILURE ANALYSIS WITHOUT EVEN LOOKING AT THE CAR AND ACCIDENT PICTURES. 
 
 CONSUMER FIGHTING WITH ODDS?--
 
 WHEN INSURANCE COMPANY SENT TOW TRUCK DRIVER ON THE NEXT DAY(1/19/2018), THE DRIVER SAID MY CAR WAS THE SECOND BRAND NEW MODEL S HE TOWED IN THE SAME WEEK WITH THE SAME ISSUE. THE OTHER LADY RAN THRU HER DRYWALL AND GOT IN HER LAUNDRY ROOM WHILE PARKING, SAME SITUATION- WHILE LETTING THE CAR ""SLOW"", ROLL ITSELF. GIVEN TESLA HAS MANUFACTURED CLOSE TO 200,000 CARS, LAUNCHED 5 YEARS SINCE 2012, DIVIDED BY 52 WEEKS A YEAR, THE ODD IS PRETTY HIGH FOR THE SAME ISSUE---0.7%. AT A TOTAL OF 1400 TESLA CARS OUT THERE, THESE 1400 CARS ARE ACTING AS TICKING BOMB FOR THE DESIGN FAILURE CAUSING SUA. I BELIEVE THIS ISSUE REQUIRES NHTSA OR FEDERAL REGULATION TO TAKE A LOOK."
5YJSA1E22HF****,2017 MODEL S,28-Jan-18,14-Jan-18,"NEWPORT BEACH, CA",11065563,"AT OUR DRIVEWAY ON SUN. 1/14/18, COMING BACK FROM SHOPPING A FEW MINUTES BEFORE FOUR PM, SUDDENLY THE CAR TOOK OFF BY ITSELF. IT ACCELERATED TREMENDOUSLY WITH THE SPEED WHICH WAS FELT AROUND 65-80 M/HR, HITTING OUR HEAVY GARAGE DOOR, WHICH WAS CLOSED AT THE TIME, WENT THROUGH THE GARAGE, HIT MY PARKED PORSCHE AND PUSHED IT TO THE LEFT TO THE WATER HEATER. IT THEN HIT AND BROKE THE WALL BETWEEN OUR GARAGE AND COURTYARD, BROKE AND PUSHED OUR CONCRETE PLANTER AND STOPPED HALFWAY BETWEEN THE GARAGE AND OUR FAMILY ROOM WINDOWS IN THE COURTYARD.I FIRMLY BELIEVE THAT THIS WAS THE RESULT OF UNINTENDED ACCELERATION. THIS IS OUR NEW AND SECOND TESLA MY WIFE AND I OWNED AND DROVE.WHEN MY WIFE TALKED TO LOCAL TESLA REPRESENTATIVE, HE REFUSED TO GIVE US ANY COMPUTER GENERATED REPORT.THE CAR STILL ON THE WALL BETWEEN GARAGE AND COURTYARD. WE UNDERSTAND, TESLA HAS A BLACK BOX THAT WE DO NOT KNOW WHERE IT WILL END UP IF WE TAKE IT TO TESLA CERTIFIED BODY SHOP.WE APPRECIATE IT VERY MUCH IF YOU ADVISE US WHAT TO DO."
5YJSA1E17HF****,2017 MODEL S,23-Feb-18,15-Dec-17,"SANTA BARBARA, CA",11074547,"TL* THE CONTACT OWNS A 2017 TESLA S75. WHILE THE VEHICLE WAS IN AUTOPILOT MODE, IT INDEPENDENTLY VEERED TO THE LEFT TO MAKE A LANE CHANGE. ADDITIONALLY, WHILE THE VEHICLE WAS AT A TRAFFIC LIGHT, IT INDEPENDENTLY ACCELERATED, MADE A SHARP LEFT TURN, AND DROVE INTO VEGETATION ON THE OFF RAMP OF A FREEWAY. THERE WERE NO INJURIES AND A POLICE REPORT WAS NOT FILED. TESLA OF SANTA BARBARA (400 HITCHCOCK WAY, SANTA BARBARA, CA 93105, (805) 770-6090) WAS CONTACTED AND THE VEHICLE OWNER WAS INFORMED TO HAVE THE VEHICLE REPAIRED. AFTERWARDS, A DIAGNOSTIC TEST WOULD BE PERFORMED. THE CONTACT STATED THAT THE FAILURE RECURRED THREE TIMES. THE VEHICLE WAS NOT REPAIRED. THE MANUFACTURER WAS NOTIFIED OF THE FAILURE. THE APPROXIMATE FAILURE MILEAGE WAS 3,000."
Not Reported,2017 MODEL S,4-Sep-17,4-Sep-17,"BRONXVILLE, NY",11021371,"THE TESLA SPED UP AND HAD A SUDDEN UNINTENTIONAL ACCELERATION. I WAS DRIVING DOWN THE DRIVEWAY SLOWLY AND THE CAR SUDDENLY ACCELERATED TO A VERY HIGH SPEED. IT ALMOST WENT OVER A WALL AND I HAD TO SWERVE THE WHEEL TO AVOID GOING OVER A WALL. WHEN I SLAMMED ON THE BRAKES, THE CAR STOPPED FULLY ONLY A FEW INCHES AWAY FROM ANOTHER PARKED VEHICLE."
5YJSA1E15HF****,2017 MODEL S,17-Aug-17,14-Aug-17,"CORAL GABLES, FL",11015893,"WHILE TURNING RIGHT AND SLOWLY PULLING INTO A PARKING SPACE WHEN I HIT THE BRAKE THE CAR ACCELERATED RAPIDLY AND JUMPED OVER THE BUMPER AND LANDED IN A GRASSY SPOT. FORTUNATE IT DIDN'T HIT ANYTHING OR ANYONE, I'M CONCERNED THAT THIS COULD HAPPEN AGAIN AND NOT HAVE A BENIGN OUTCOME. TESLA'S FIRST REACTION IS ""I"" MUST HAVE HIT THE GAS PETAL BY MISTAKE; I WOULD LIKE TO ACCEPT THAT HOWEVER I DON'T. TO START A TESLA YOU TOUCH THE BRAKE, MORE TESTING IS NEEDED TO ASSURE BRAKES DON'T CREATE FALSE ACCELERATION THIS IS A VERY DANGEROUS SITUATION. I WAS AFRAID TO DRIVE THE CAR HOME ON A BUSY STREET WHERE PEDESTRIANS CROSS AT STOP LIGHT; IMAGINE THAT OUTCOME? TESLA NEEDS TO RUN TEST TO DETERMINE IF THIS MALFUNCTION OF RAPID ACCELERATION WHEN APPLYING BRAKES IS AN ENGINEERING PROBLEM AND NOT WRITE IT OFF AS DRIVERS HITTING THE GAS!"
5YJXCBE23GF****,2016 MODEL X,7-Aug-18,1-Jul-18,"RANCHO PALOS VERDES, CA",11118315,THE CAR AUTO ACCELERATED ON A SURFACE STREET AND CRASHED
5YJXCBE2XGF****,2016 MODEL X,17-May-18,5-Apr-18,"LYNNFIELD, MA",11096621,"WHILE VISITING A FUNERAL HOME IN MELROSE, MA., I NEEDED TO BACK INTO A SPOT TO BE ABLE TO TAKE PART IN THE FUNERAL PROCESSION. I PULLED OUT OF THE SPOT I WAS IN AND PROCEEDED TO PUT THE CAR IN REVERSE TO BACK INTO THE SAME PARKING SPOT. AT THE SAME MOMENT THAT I STARTED TO BACK IN THE CAR SURGED AND MADE AN ARC IN THE PARKING LOT ONLY STOPPING AFTER I HIT A PARKED CAR WITH SUCH FORCE THAT IT CAUSED TWO MORE CARS TO BE HIT BY THE IMPACT. I ATTEMPTED TO STOP THE CAR BY STEPPING ON THE BREAK WHICH HAD NO EFFECT AND EVEN THOUGH I WASN'T HURT, MY ARMS ACHED FOR DAYS BECAUSE I WAS TRYING TO CONTROL THE WHEEL TO NO AVAIL. I HAVE A CLEAN DRIVING RECORD AND WAS IN REVERSE AT THE TIME WHICH MEANT I HAD MY FOOT ON THE GAS TO BACK IN SLOWLY. I HAVE REQUESTED THAT TESLA CHECK THE THE COMPUTER TO SEE IF I AM OF FAULT OR NOT AND THEY HAVE REFUSED. MY TESLA IS BEING REPAIRED AND I NEED TO KNOW IF THIS WAS A TECHNICAL ERROR . I WAS TOLD IT COULD BE THE AUTO PILOT SYSTEM THAT COULD BE A FAULT EVEN THOUGH I HAVE NEVER USED IT. PLEASE HELP BECAUSE I AM CONCERNED THAT WE SHOULD BE AWARE OF HOW THIS HAPPENED."
5YJXCAE42GF****,2016 MODEL X,4-Apr-18,8-Feb-18,"LOS ANGELES, CA",11083342,I WAS DRIVING MY TESLA MODEL X EV HOME AND THERE WERE NO PROBLEMS. WHEN I PULLED INTO THE DRIVEWAY THE SELF DRIVING FEATURES ACCELERATED THE VEHICLE CAUSING AN ACCIDENT.
5YJXCAE25GF****,2016 MODEL X,7-Jul-17,7-Jul-17,"SOUTHLAKE, TX",11003716,"MY TESLA MODEL X 2016 ACCELERATED ON ITS OWN AFTER I COME TO A COMPLETE STOP AT A PARKING LOT, CRASHED INTO THE FRONT OF A PEDIATRICS BUILDING. 2 INJURIES. AIRBAG WAS INFLATED."
5YJXCAE23GF****,2016 MODEL X,5-Apr-17,11-Mar-17,"DUBLIN, CA",10970822,"I WAS IN A PARKING LOT WAITING ON A LUNCH ORDER. AFTER GETTING MY ORDER I WAS READY TO PULL THE CAR OUT OF MY PARKING SPACE. THE CAR WAS STATIONARY AND NOT MOVING . AS I STEP ON THE GAS TO PULL OUT , THE CAR WENT INTO 100% ACCELERATION FORWARD CLIMB THE CURB AND CRASH INTO A CONCRETE WALL THAT SURROUND THE GARBAGE DUMPSTER . THE WALL WAS ABOUT 3 TO 5 FEET FROM MY PARKING SPACE.I CONTACTED TESLA AND WAS TOLD I STEP ON THE GAS 100% IN UNDER 2 SECOND , AND THEY WOULD NOT CLAIM RESPONSIBILITY . AS I TELL THEM I AM 100% SURE I DID NOT STEP ON ANYTHING 100%( GAS OR BREAK ) WHEN I AM IN A BUSY PARKING LOT. THEY STILL DENIED AND SAID IT WAS MY FAULT ."
5YJXCAE24GF****,2016 MODEL X,27-Feb-17,27-Feb-17,"MARIETTA, GA",10957394,I DROVE MY TESLA MODEL X 2016 TODAY TO WORK AND WHEN I WAS ABOUT TO PARK THE CAR IN THE PARKING LOT (AROUND 6 MILES PER HOUR MAY BE) IT SUDDENLY ACCELERATED AND HIT THE CONCRETE WALL AND BOUNCED BACK AROUND 8 FEET. SINCE IT WAS FOR PARKING I CAN SURELY SAY THAT I DID NOT ACCELERATE THE CAR. THE STEERING AIR BAGS AND KNEE AIR BAGS CAME OFF AND ALSO THE PASSENGER SIDE KNEE AIR BAGS CAME OFF AS WELL. I SEARCHED ONLINE AND THERE SEEMS TO BE A CLASS ACTION SUITE ON THIS ISSUE BUT TESLA IS NOT ACCEPTING IT AS THE GLITCH IN THEIR SOFTWARE OR SOME OTHER COMPONENT. I FELT LIKE THE ACCELERATOR GOT PRESSED THE WAY WHEN THE CAR WAS IN CRUISE MODE. UNLESS I WANTED TO HIT THE WALL INTENTIONALLY THERE WAS NO NEED FOR ME TO PRESS THE ACCELERATOR TO SPEED FROM ALMOST ZERO TO WHATEVER THE HIGH SPEED IT ATTAINED AT THE TIME OF HITTING THE WALL.
5YJXCBE24GF****,2016 MODEL X,14-Dec-16,13-Dec-16,"AMAGANSETT, NY",10935272,"I HAD PULLED INTO A PARKING LOT, PROCEEDED TO PULL INTO A SPOT ADJACENT TO A CINDER BLOCK BUILDING. I HAD MY FOOT LIGHTLY ON THE GAS PEDAL, THEN AS I MADE THE TURN INTO THE SPOT, MY FOOT WAS ON THE BRAKE - THE CAR LURCHED FORWARD AND SPED UP AND THE BRAKES DID NOT STOP IT. I WENT RIGHT INTO THE CONCRETE BUILDING, HEAD ON - AIR BAGS DEPLOYED. THE FRONT END CRUSHED AND THE 2 AIRBAGS ON THE DRIVERS SIDE DEPLOYED AND WERE SMOKING. I READ ON LINE THAT THERE HAVE BEEN NUMEROUS INCIDENCES OF THIS HAPPENING WITH THE TESLA. SPONTANEOUS ACCELERATION WITH MY FOOT NOT ON THE GAS PEDAL. THE CAR WOULD NOT STOP BY THE BRAKES! I COULD HAVE BEEN SERIOUSLY INJURED OR HIT ANOTHER PERSONA OR VEHICLE. THE CAR HIT THE BUILDING AS WELL AS A NATURAL GAS PIPE THAT WAS RUNNING ALONG THE BUILDINGS SIDE AT THE LEVEL OF MY FRONT BUMPER. I FILED A POLICE REPORT."
5YJXCBE27GF****,2016 MODEL X,16-Jun-17,12-Nov-16,"CUPERTINO, CA",10995447,VEHICLE ACCELERATED SUDDENLY AND CRASHED INTO A TREE IN FRONT WHILE PARKING THE CAR IN A PARKING LOT. WE REPORTED THE PROBLEM TO TESLA BUT THEY GOT BACK TO US DENYING ANY CAR MALFUNCTION THAT CAUSED THE ACCELERATION. HOWEVER WE RECEIVED A RECALL LETTER TODAY SAYING THAT AFFECTED PARKING BRAKE CALIPER MAY CAUSE IN ROLLAWAY AND CRASH.
5YJXCAE27GF****,2016 MODEL X,3-Jan-17,2-Nov-16,"SANTA CLARA, CA",10939234,"WHILE TURNING LEFT INTO A PARKING SPOT AT A VERY SLOW SPEED, THE CAR SUDDENLY ACCELERATED WITH EXTREME FORCE. IT RAN OVER A CURB AND COLLIDED WITH A TREE AND A TRUCK. THERE WAS ONLY LIGHT PRESSURE ON THE ACCELERATOR. THE AUTOMATIC BRAKING AND THE AIRBAGS DID NOT DEPLOY. THERE WAS OVER $18 000 DAMAGE TO THE TWO VEHICLES AND THE TESLA MODEL X IS NOT DRIVEABLE WITHOUT REPAIRS"
5YJXCBE22GF****,2016 MODEL X,12-Oct-16,7-Oct-16,"SANTA CLARA, CA",10915633,"TL* THE CONTACT OWNS A 2016 TESLA MODEL X. WHILE PARKING THE VEHICLE, IT ACCELERATED WHILE DEPRESSING THE BRAKE PEDAL AND CRASHED INTO A FENCE. THERE WERE NO INJURIES AND A POLICE REPORT WAS NOT FILED. THE AIR BAGS DID NOT DEPLOY. THE VEHICLE WAS NOT DIAGNOSED OR REPAIRED. THE MANUFACTURE WAS NOTIFIED OF THE FAILURE. THE FAILURE MILEAGE WAS 1,000."
5YJXCAE44GF****,2016 MODEL X,26-Sep-16,22-Sep-16,"LEXINGTON, MA",10909588,I WAS GOING UP BY DRIVEWAY WAITING FOR MY GARAGE DOOR TO OPEN. I TOOK MY FOOT OFF THE ACCELERATOR AND WAS SLOWING DOWN WITHOUT HITTING THE BREAKS WAITING FOR THE GARAGE DOOR TO OPEN. THE CAR TOOK OFF THROUGH THE GARAGE DOOR AND HIT MY HUSBANDS CAR SITTING IN THE GARAGE.
5YJXCBE27GF****,2016 MODEL X,27-Sep-16,10-Aug-16,Not Reported,10910108,WHILE COMING TO A STOP IN A PARKING GARAGE GOING 3 MPH THE AUTO SUDDENLY PROJECTED FORWARD AT FULL SPEED INTO A CONCRETE WALL DESTROYING THE ENTIRE FRONT END OF THE CAR AND INJURING THE PASSENGERS BY DEPLOYMENT OF THE AIR BAGS08102016
5YJXCAE29GF****,2016 MODEL X,4-Aug-16,28-Jul-16,"DANBURY, CT",10893066,"TL* THE CONTACT OWNS A 2016 TESLA MODEL X. WHILE ATTEMPTING TO PARK, THE VEHICLE INDEPENDENTLY ACCELERATED WITHOUT WARNING AND CRASHED INTO A WOOD FENCE. THE AIR BAGS FAILED TO DEPLOY. THERE WERE NO INJURIES. A POLICE REPORT WAS FILED. THE VEHICLE WAS NOT DIAGNOSED OR REPAIRED. THE MANUFACTURER WAS NOTIFIED OF THE FAILURE. THE APPROXIMATE FAILURE MILEAGE WAS 49."
5YJXCBE21GF****,2016 MODEL X,24-Aug-16,8-Jul-16,"ORMOND BEACH, FL",10898260,"ON JULY 8TH 2016, AT 9:37 A.M., WHILE SLOWLY PULLING INTO A PARKING SPACE AT CREEKWOOD DOG PARK IN BRADENTON FLORIDA, MY TESLA MODEL X SUDDENLY ACCELERATED UNDER ITS OWN VOLITION, DROVE OVER A PARKING STOP, OVER A FIVE INCH CURB, AND THEN HIT AND KNOCKED OVER A CONCRETE LIGHT POLE. ALL THIS HAPPENED IN A DISTANCE OF LESS THAN TWENTY FEET. TESLA WAS NOTIFIED IMMEDIATELY AND THE CAR WAS TAKEN TO DIMMITT COLLISION CENTER IN CLEARWATER, FLORIDA. THE SERVICE MANAGER AT TESLA OF TAMPA, TOLD ME VERBALLY THE LOG FROM THE EDR SAYS THE CAR WAS TRAVELING AT 6 MPH, THEN THE ACCELERATOR WAS ADVANCED TO OVER 50% AND THEN TO 87%. THE CAR ACCELERATED TO 20 MPH AND ABRUPTLY STOPPED. I DENIED THIS SCENARIO AND ASKED FOR A SUPERVISOR. TESLAS SOUTHEAST REGIONAL MANAGER MET US AT THE BODY SHOP. HE HANDED ME A LETTER THAT HAD DIFFERENT EDR RESULTS-VEHICLE SPEED WAS 7 MPH, PEDAL POSITION WENT FROM 3.2% TO 15.6% TO 100% AND CAR WENT TO 14 MPH. THE FIRST REPAIR ESTIMATE SHOWED ACTUAL MILEAGE AS 205 AND A SUBSEQUENT REPAIR ESTIMATE SHOWS THE ACTUAL MILEAGE AS 1425. THESE FIGURES ARE INACCURATE SINCE I HAD LOOKED AT THE ODOMETER SEVERAL DAYS BEFORE THE ACCIDENT AND THE MILEAGE WAS OVER 1800. I INFORMED TESLA THAT I AM POSITIVE BEYOND A SHADOW OF DOUBT THAT THE CARS ELECTRONIC THROTTLE COMPUTER WAS RESPONSIBLE FOR THE ACCIDENT WHICH THEY DENY. THIS APPEARS TO BE THE INDUSTRY STANDARD SINCE EXPERTS WILL TESTIFY THAT ALTHOUGH A CAR IS RESPONSIBLE FOR UNINTENDED ACCELERATION THERE WILL BE NO TRACEABLE EVIDENCE OF THAT RESPONSIBILITY AND THEREFORE THE MANUFACTURER HAS PLAUSIBLE DENIABILITY. TESLAS ARE UNDERGOING UNINTENDED ACCELERATION AT A RATE MORE FREQUENT THAN 1/5,000 VEHICLES MANUFACTURED. THIS IS WAY MORE FREQUENT THAN THE INDUSTRY STANDARD. GENERAL MOTORS HAS AN EXTREMELY GOOD RATE OF 1/123,000 VEHICLES."
5YJXCAE46GF****,2016 MODEL X,7-Jun-16,4-Jun-16,"ANAHEIM, CA",10873117,"OUR 5 DAY OLD TESLA X WHILE ENTERING A PARKING STALL SUDDENLY AND UNEXPECTEDLY ACCELERATED AT HIGH SPEED ON ITS OWN CLIMBING OVER GRASS AND AND CRASHED INTO A BUILDING.
 
 THE AIRBAGS DEPLOYED AND MY WIFE'S ARMS HAVE BURN MARKS AS A CONSEQUENCE."
5YJXCAE24GF****,2016 MODEL X,19-Sep-16,23-May-16,"BOSTON, MA",10908051,"WHILE TURNING LEFT TO ENTER A VERY NARROW GARAGE ENTRANCE I NEEDED TO DETERMINE WHETHER OR NOT I HAD TO STRAIGHTEN OUT BEFORE PULLING IN OR IF MY LEFT TURN WAS TIGHT ENOUGH TO PULL IN WITHOUT REVERSING TO STRAIGHTEN OUT. I SAW THAT I WAS IN THE POSITION THAT I COULD CONTINUE INTO THE GARAGE AND LIGHTLY PRESSED THE ACCELERATOR TO FINISH MY TURN INTO THE GARAGE. 
 
 IT WAS AT THIS POINT THAT THE CAR ACCELERATED WITH EXTREME FORCE AND WITHIN A SECOND SLAMMED INTO A LARGE CONCRETE POLE THAT WAS JUST INSIDE THE GARAGE TO THE LEFT.
 
 I NEVER FELT THE CAR SLOW IN THAT MOMENT, ONLY SPEED UP AND I BELIEVE THE CAR SLAMMED INTO THE POLE WHILE ACCELERATING AND WOULD HAVE CONTINUED TO ACCELERATE IF NOT FOR THE LARGE POLE. 
 
 I DID NOT HAVE EITHER FOOT DEPRESSED ON EITHER PEDAL AT THE MOMENT OF COLLISION. THE AIR BAGS DID NOT DEPLOY, BUT THERE WAS VERY SEVERE DAMAGE TO THE FRONT END OF THE CAR THAT WILL BE AT LEAST $25K.
 
 I WAS NOT ON THE PHONE OR DISTRACTED IN ANY WAY. I WAS DRIVING CAREFULLY AND PAYING FULL ATTENTION. THIS IS NOT A CASE OF MISTAKEN PEDAL BECAUSE I WAS INTENDING TO ACCELERATE. 
 
 AT FIRST TESLA TOLD US OVER THE PHONE THAT THEIR LOGS SHOW THAT THE DRIVER PRESSED THE PEDAL 100% AND THEN TAPPED THE BRAKE BEFORE IMPACT. THIS EXPLANATION SOUNDED PHYSICALLY IMPOSSIBLE BECAUSE THE DISTANCE COVERED WAS LESS THAN 3 CAR LENGTHS. A MONTH LATER TESLA SENT A LETTER STATING THE DRIVER PRESSED THE ACCELERATOR 100% UNTIL THE VEHICLE SENSED A CRASH. TESLA DID NOT RESPOND TO OUR QUERY ABOUT WHY THEIR LOG STORY HAD CHANGED. TESLA ALSO REFUSED TO PROVIDE DATA ABOUT ACCELERATOR/BRAKE PERCENTAGE AND CAR SPEED FOR THE CAR EARLIER IN THE DAY. IF A DRIVER IS PRESSING THE PEDAL 100% IT IS A VERY DELIBERATE ACTION. 
 
 THIS IS A FAILURE OF THE ACCELERATOR AND THE AUTOMATIC BRAKING. THE CAR ACCELERATED ON ITS OWN AND CRASHED FULL FORCE INTO A LARGE CONCRETE POLE."
5YJSA1E15GF****,2016 MODEL S,9-Jun-18,20-Feb-18,"HONOLULU, HI",11100721,"ON2/20/18 I WAS DRIVING UP MY DRIVEWAY. UPON REACHING THE TOP OF THE DRIVEWAY, THE CAR SUDDENLY ACCELERATED BY ITSELF RESULTING IN THE FRONT OF THE CAR HITTING THE CONCRETE WALL IN FRONT. I INFORMED TESLA AND THEY CLAIM THAT THE COMPUTER SHOWED THAT I PRESSED ON THE ACCELERATOR INSTEAD OF THE BREAK. MY ANSWER IS THAT I DID NOT PRESSED ON THE ACCELERATOR. IT JUST ACCELERATED BY ITSELF. ASIDE FROM ME, I HAVE 4 PASSENGERS THAT CAN ATTEST TO THIS. I HAVE LIVED IN THIS PLACE SINCE 1986 AND THIS HAS NEVER HAPPENED. SINCE I HAVE BEEN DRIVING UP MY DRIVEWAY FOR 32 YEARS, IT IS SO ROUTINE FOR ME THAT IT IS ALREADY RITUAL FOR ME AT ALMOST THE SAME SPEED AND WHEN TO PRESSED ON THE GAS AND BRAKE PEDALS THE SAME WAY EVERY TIME. THIS HAS NOT HAPPENED TO MY OTHER CARS AND AS MY CAR INSURANCE WILL SHOW I HAVE NOT BEEN INVOLVED IN CAR ACCIDENTS FOR MANY YEARS.
 
 I HAVE NOT BEEN SHOWN ANY EVIDENCE EXCEPT WHAT TESLA TOLD ME. IT IS THEIR WORDS VERSUS MINE AND MY 4 OTHER PASSENGERS WHO EXPERIENCED WHAT ACTUALLY HAPPENED. 
 
 I HAVE PROBLEM TRYING TO DOWNLOAD PICTURES AND CORRESPONDENCES /RECORDS HERE. I WILL BE GLAD TO MAIL THEM TO YOU OR SOME OTHER WAYS WITH YOUR INSTRUCTIONS. THANK YOU."
